ParkCode,LocationType,StationID,month,variable,mean,sd,N,SE,inc.10.4yr,inc.20.4yr,inc.50.4yr,inc.10.8yr,inc.20.8yr,inc.50.8yr,inc.10.12yr,inc.20.12yr,inc.50.12yr
ACAD,Stream,ACABIN,5,ACOLOR,46.75,5.14781507,8,1.820027472,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,8,ACOLOR,69.16666667,9.656211692,12,2.78750821,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,5,ANC,91.9,32.32354295,8,11.4280982,0.896,0.932,0.984,1,1,1,1,1,1
ACAD,Stream,ACABIN,8,ANC,175.4225,47.92506673,8,16.94406984,0.976,0.988,0.999,1,1,1,1,1,1
ACAD,Stream,ACABIN,5,BP_mmHg,753.0041671,6.726047665,10,2.126963027,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,6,BP_mmHg,751.8755081,6.152943859,10,1.945731691,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,7,BP_mmHg,759.0738609,5.077291693,10,1.605580609,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,8,BP_mmHg,754.8750071,5.341164662,12,1.541861428,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,9,BP_mmHg,758.0152411,5.314911048,10,1.680722447,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,10,BP_mmHg,754.3345017,5.578773429,10,1.764163059,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,5,Discharge,4.0712,7.189117374,10,2.273398527,0.148,0.165,0.225,0.356,0.411,0.578,0.463,0.53,0.719
ACAD,Stream,ACABIN,6,Discharge,4.2355,6.069060389,8,2.145736878,0.168,0.189,0.258,0.417,0.479,0.66,0.539,0.611,0.799
ACAD,Stream,ACABIN,7,Discharge,1.71875,2.803192198,8,0.991078106,0.142,0.159,0.215,0.338,0.39,0.552,0.44,0.505,0.692
ACAD,Stream,ACABIN,8,Discharge,1.125833333,1.676288261,12,0.483902739,0.21,0.238,0.327,0.539,0.611,0.796,0.678,0.752,0.909
ACAD,Stream,ACABIN,9,Discharge,0.538,0.555622974,10,0.175703412,0.311,0.351,0.477,0.768,0.834,0.953,0.888,0.934,0.991
ACAD,Stream,ACABIN,10,Discharge,1.1488,1.324365072,10,0.418801008,0.265,0.301,0.411,0.676,0.749,0.905,0.813,0.874,0.972
ACAD,Stream,ACABIN,5,DO (%),91.92,5.160275617,10,1.63182243,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,6,DO (%),78.22,16.13903481,10,5.103610922,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,7,DO (%),68.64,11.57806355,10,3.661305171,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,8,DO (%),73.6,6.487470441,12,1.872771403,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,9,DO (%),58.84,8.156415335,10,2.579285,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,10,DO (%),78.12,8.505788878,10,2.689766615,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,5,DO_mg.L,9.074,0.606212284,10,0.191701156,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,6,DO_mg.L,7.096,1.220174851,10,0.385853167,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,7,DO_mg.L,5.698,0.894188645,10,0.282767278,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,8,DO_mg.L,6.501666667,0.5548273,12,0.160164846,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,9,DO_mg.L,5.718,0.80981205,10,0.256085055,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,10,DO_mg.L,8.434,1.275174934,10,0.403245721,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,5,FPH,6.445,0.196614198,8,0.069513616,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,8,FPH,6.45,0.256013393,8,0.090514403,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,8,NH3_mg/L,0.014333333,0.001861899,6,0.000760117,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,5,pH,6.205,0.208737703,8,0.073799923,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,6,pH,6.246,0.262178904,10,0.082908249,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,7,pH,6.144,0.087075957,10,0.027535835,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,8,pH,6.156666667,0.23546215,12,0.067972068,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,9,pH,5.828,0.266116098,10,0.084153299,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,10,pH,5.872,0.201041731,10,0.063574978,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,5,Specific conductance,26.2,3.224903099,10,1.019803903,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,6,Specific conductance,30.2,9.271221902,10,2.93181779,0.975,0.987,0.999,1,1,1,1,1,1
ACAD,Stream,ACABIN,7,Specific conductance,33.2,6.303438215,10,1.993322185,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,8,Specific conductance,33,6.179143807,12,1.78376517,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,9,Specific conductance,32.4,5.440588203,10,1.720465053,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,10,Specific conductance,31.2,3.359894178,10,1.06249183,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,5,TN_mg/L,0.1995,0.032182515,8,0.011378237,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,8,TN_mg/L,0.409166667,0.083501588,12,0.024104832,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,5,TotalArea,9.017,5.821578411,6,2.376649434,0.419,0.471,0.62,0.912,0.95,0.994,0.975,0.99,1
ACAD,Stream,ACABIN,6,TotalArea,7.817,4.01496919,6,1.639104308,0.564,0.624,0.776,0.985,0.994,1,0.998,1,1
ACAD,Stream,ACABIN,7,TotalArea,3.946,1.870813299,6,0.763756331,0.619,0.68,0.826,0.994,0.998,1,1,1,1
ACAD,Stream,ACABIN,9,TotalArea,5.041,2.761392837,6,1.127333905,0.521,0.579,0.734,0.973,0.988,0.999,0.996,0.999,1
ACAD,Stream,ACABIN,10,TotalArea,5.63,0.161245155,6,0.065828059,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,5,TotalVel,0.431333333,0.494729286,6,0.201972385,0.187,0.211,0.289,0.473,0.54,0.727,0.604,0.679,0.856
ACAD,Stream,ACABIN,6,TotalVel,0.360666667,0.471274301,6,0.192396928,0.157,0.176,0.24,0.384,0.442,0.617,0.498,0.568,0.757
ACAD,Stream,ACABIN,7,TotalVel,0.062666667,0.064002083,6,0.026128741,0.219,0.248,0.341,0.564,0.636,0.818,0.704,0.776,0.924
ACAD,Stream,ACABIN,8,TotalVel,0.201,0.09152486,6,0.037364868,0.647,0.708,0.849,0.996,0.999,1,1,1,1
ACAD,Stream,ACABIN,9,TotalVel,0.089333333,0.092720368,6,0.037852932,0.214,0.243,0.333,0.551,0.623,0.806,0.69,0.763,0.916
ACAD,Stream,ACABIN,10,TotalVel,0.104666667,0.092162176,6,0.037625051,0.271,0.307,0.419,0.688,0.76,0.912,0.824,0.883,0.975
ACAD,Stream,ACABIN,5,TP_ug/L,8.1,3.040676616,8,1.075041527,0.864,0.906,0.974,1,1,1,1,1,1
ACAD,Stream,ACABIN,8,TP_ug/L,13.86666667,3.542298518,12,1.022573501,0.998,0.999,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,5,Water Temperature,16.132,3.808151491,10,1.204243239,0.998,0.999,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,6,Water Temperature,19.842,3.880580713,10,1.22714737,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,7,Water Temperature,24.732,2.930039059,10,0.926559706,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,8,Water Temperature,21.54,3.411653824,12,0.984859627,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,9,Water Temperature,16.744,0.50153542,10,0.158599426,1,1,1,1,1,1,1,1,1
ACAD,Stream,ACABIN,10,Water Temperature,12.204,2.785889844,10,0.880975722,0.999,1,1,1,1,1,1,1,1
ACAD,Lake,ACANTB,6,ACOLOR,56.291,13.6854887,36,2.280914783,1,1,1,1,1,1,1,1,1
